Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Kazakhstan,0.9907846144386923,0.002286220248478414,0.0013924403839707328,0.0009708142337031211,0.002255938187329249,2.4758056051280024e-05,0.00041202518941593183,0.00018328523888302506,1.0213779012409244e-06,0.0004386004915882382,4.135676519955377e-05,6.906164704582197e-05,5.127622035340939e-06,0.0006902182676585991,1.2269933403400315e-05,2.31033399399054e-06,0.0002782793308333343,5.196842911103405e-05,2.4590019626785204e-08,8.26847543851148e-06,3.5536010014328706e-06,1.0393792544636305e-05,1.0238103386522629e-06,8.231881008749859e-07,3.567680768407196e-05,5.4524355507550165e-06,4.770788241725423e-06,2.8665094391869166e-05,1.0372413932112366e-06
Kenya,0.6742844970767522,0.19794754372912593,0.026264090535268753,0.00018021672434739803,0.0014900282638959904,0.07074876591702556,0.007088488311353218,0.009744007490932809,0.0006217741125060636,0.002700611324189257,0.0034841819118615744,0.0008834250702974934,5.182898220989494e-06,3.376041188690328e-05,0.0007007785549765934,0.00020358359404898808,4.329440394253143e-05,0.00012459424042310642,2.8853661574478407e-05,3.259866448351106e-05,3.0305053108173246e-06,0.0023245307184872,0.00011383459253620818,3.8510934146000125e-05,0.0006077038397679767,8.7343827550066e-05,0.00015777567603689573,5.686306838512912e-05,1.299406664332402e-07
Kiribati,0.9969656028335213,0.0009682696700950505,0.0012350472644448195,9.734172571225125e-05,0.0006993938498079009,1.742150639996124e-07,2.3767020955003826e-05,2.6208132664661726e-08,6.959430158052065e-06,1.4538052111468411e-06,8.942503154679953e-08,1.6482171215466682e-09,1.3504040222287806e-06,1.8885585574675154e-07,1.1838417355316641e-07,3.900330335232048e-11,1.1829177522197317e-07,9.213445727874982e-09,4.267639726220988e-08,3.4806402956339263e-09,4.121064040888009e-09,2.23509146794818e-09,1.358346596934422e-08,1.7260828415805256e-09,1.0001368928462778e-08,5.145881646959891e-09,4.414271187017502e-11,3.852779121711813e-09,8.484592544375057e-10
Kuwait,0.9971359956521294,0.0007480171679519861,0.0012835813504542758,5.823996868816639e-05,0.0007308214929622631,5.6413012785542644e-08,1.7104879856031035e-05,1.3405104088519146e-07,1.701681124699547e-05,2.0174905335576886e-06,1.8853945738262236e-06,1.290581992943022e-06,3.0550099128081884e-06,1.861847827843165e-07,9.579509787553925e-08,3.2014054355528946e-08,7.752343478586593e-09,9.890140057126259e-10,1.4170319342678507e-09,1.80450233976364e-08,4.841349993520873e-08,1.0390852357147988e-09,1.0827851278113667e-12,9.396560451722833e-09,1.996375724767424e-07,1.5603033627720617e-07,2.84419949593752e-09,2.2823752880620543e-08,1.3522067092267768e-09
Kyrgyzstan,0.9971635222686229,0.0003522526191456499,0.001338160252893071,5.595785297306271e-06,0.0009631569872596522,2.7572099015186663e-07,2.0685600213852807e-06,8.901253234560247e-06,4.2429097038336115e-06,8.453671110874478e-05,1.2618867585803817e-06,6.285066503018546e-07,1.2713227287160966e-06,2.822336531415887e-05,1.743637771254735e-05,1.248543280353228e-08,1.5627178444442394e-05,1.822086542361568e-07,7.682660917282339e-08,7.996701690403879e-06,1.078991012604487e-06,6.035464925708942e-07,1.1526319264826406e-06,1.2056773493490865e-06,1.9183175586584283e-07,1.4654013269269388e-08,1.3774118020500235e-09,3.133005722348647e-07,8.06119305074884e-09
Laos,0.9935822514368382,0.003455110972479157,0.0010964216007821658,0.00024027118591467828,0.0011507638150356258,8.640833514318456e-05,1.014883918689575e-06,0.0001532930224069763,3.888522906092249e-06,2.0043594184577165e-06,3.6197861966501165e-05,1.546064762836456e-05,2.1719574776053043e-05,6.621055259772647e-05,1.7194560913638472e-05,5.78349874607367e-07,1.3801846105791973e-06,1.5762396321306402e-06,7.826534771000719e-06,2.664687132597739e-06,2.84641734043989e-06,1.845979617970994e-05,3.3058444533528794e-06,1.99913172394824e-05,2.220935237898897e-06,1.0228992635265459e-05,8.710420416750204e-08,4.5138064139268247e-07,1.7088332165827227e-07
Latin America and Caribbean,0.5898230996737742,0.17398552338089718,0.0166804818137839,0.122142755922838,0.008405615537677533,0.02991104577622244,0.0014635473864714557,0.012241397478580798,0.0011006366819493608,5.6656268641384855e-05,0.003696989436166081,0.00735519676663867,0.028361960015631703,3.712535662581012e-05,0.000948400656644391,0.0018046848089448176,0.0015266876169388302,9.057714524792642e-06,0.00030265283463408677,7.486848032502903e-06,2.2105162242522777e-05,5.1434101115091495e-06,5.772828350717022e-07,4.447423405279972e-05,3.943044835616522e-05,1.2681638667242897e-05,1.1395245005396015e-05,6.002084226993451e-10,3.1900029027329373e-06
Latvia,0.9973511293273541,0.00023150866495812926,0.0014226787484061692,6.409578341161806e-08,0.0009725723077412073,9.246049257528577e-07,1.089217053452742e-06,5.788846760599371e-07,1.4043355628987984e-06,2.0323659919190371e-07,9.902704567787473e-07,1.272505010362486e-06,9.697234276690772e-06,1.9699092067434354e-06,7.48720766744742e-09,3.9542290718938014e-07,1.2347434228362258e-07,7.034744356031569e-08,6.253609238079866e-07,5.232743675055429e-07,1.5493333977747835e-07,1.1368716301437692e-07,1.0351200753151072e-06,6.957376443569266e-07,1.944417928344541e-08,8.970611579057131e-08,3.34165808996422e-08,2.656433992045491e-08,2.681358822122477e-09
Lebanon,0.9977267579418059,0.00022926565226412754,0.001260840883114704,1.35927152631082e-09,0.0006293485049568682,6.658460185244048e-06,1.0874834254835906e-05,3.4622121950106815e-06,3.681171079729884e-05,8.060792698972725e-09,3.3647982566146486e-05,1.2120433188787185e-05,1.9252560082265056e-05,1.5434755673178406e-06,5.87286303995536e-06,9.979675959491895e-08,1.8737049959739852e-06,1.6545962907122602e-06,8.421348895509281e-06,8.771695123125281e-10,1.657102042555353e-07,3.048829694664077e-08,4.665138577977927e-06,1.1945401598862377e-06,3.4004497679226237e-06,4.3025488413270684e-07,5.930955398052473e-07,8.465581169753324e-07,1.5650625815147296e-07
Lesotho,0.9947454248087989,0.0024871960224379145,0.00012207497121318112,7.410660969892058e-05,0.0009239310745629378,0.0013485011152503576,0.0001233552839558808,5.7619536467253784e-05,8.05971884137828e-06,2.895048310533505e-05,1.677356024486246e-05,1.616233053986503e-05,3.8124395432317847e-06,9.252719985693775e-08,2.6854560564396104e-05,6.773552861291159e-07,2.3291732967325596e-06,1.3328097911396878e-07,3.047327391854317e-06,4.427590126387764e-06,1.0443709056935049e-07,4.003122962418058e-06,2.48881332790258e-08,8.885649809776226e-08,2.0604184437110983e-07,7.618302121765424e-07,1.0066783543831542e-06,2.6494804402901384e-07,9.427356367782088e-09
Liberia,0.9915839604202804,0.005984398718123374,0.0010725017136615778,0.00015000090438540382,0.0007192957530237977,2.8723593985568235e-06,1.2094873331139887e-05,1.6607755132019414e-06,2.9817907558672947e-05,5.21002803392043e-06,5.950154251426684e-05,3.501381702695483e-05,8.881808714920458e-05,9.679624224208881e-06,3.535849943412307e-05,5.208703773955724e-05,6.039824409162208e-05,1.105341149747659e-05,8.513032890621592e-06,1.5242872109314507e-05,1.2235490117048445e-05,3.225397557474046e-05,2.890761538774519e-06,1.0780824714835916e-05,8.399687168371868e-08,2.190435388412038e-06,1.7594344525594401e-06,3.143782457103914e-07,1.1081108834218136e-08
Libya,0.9978353304855103,0.00018850664286469614,0.001257184808126042,6.700322007431235e-07,0.0005289995758567385,4.626205321210745e-06,9.586097956945685e-06,9.517506597206515e-06,2.3845135429276137e-05,4.270382427524794e-05,2.0130781990015773e-05,2.1848230969783428e-05,2.5398377259022724e-05,1.9570162806857958e-05,7.317350088470435e-07,2.004175231718858e-06,3.350888518775629e-07,8.419507168748577e-08,7.952991048523086e-08,1.1131272867677264e-06,2.5434755160653214e-07,1.3620267911499364e-06,7.513848370322071e-07,3.406058375924478e-08,1.87405136097476e-06,1.3753490803329281e-06,1.2657651570630052e-06,7.372412642828683e-07,8.00548480441945e-08
Lithuania,0.9971335742807527,4.596426210309385e-05,0.0015593275133793131,4.2168592865550917e-05,0.0011296469360512111,2.2267987314727496e-06,2.6027738057576264e-05,1.6927962242296303e-05,4.96056645816319e-07,5.314140206141991e-07,1.1110211318047252e-05,5.81414413396056e-06,1.3041493781865318e-06,6.835000506215958e-06,2.7199974796513244e-06,4.808888047127154e-07,6.914355846432156e-07,1.200383740245667e-06,1.9110552402755666e-06,1.3517110920415964e-06,4.960000216399936e-07,5.461519680653347e-07,2.897298320693919e-08,2.973242286207835e-06,4.3667470931944945e-06,7.069071289546254e-07,3.5209333575560004e-08,5.304118129307421e-07,5.825244521686939e-09
Low SDI,0.5931919309594004,0.3810782584753847,0.0012921974548997064,0.013592225582123005,0.0027875986357871396,0.005578705138814518,0.00012939859807018867,5.6722585277505555e-05,0.002025572441312946,2.4228848835239674e-06,0.00016116657132304803,9.5526821283355e-06,4.210841177726469e-05,1.2862929670789626e-06,4.610420739278341e-06,1.7710470273610792e-05,1.9141042714975076e-05,2.5396268743278463e-06,3.604239394324043e-08,3.898392970299609e-06,2.8432469574700654e-07,1.8353268889612826e-06,4.0242174183316346e-07,3.4502498571013464e-08,3.520490066309516e-08,5.353114350171275e-08,6.831559882553676e-08,1.3243786709765613e-07,7.122454881150862e-08
Low-middle SDI,0.8343352423160889,0.14107997727413818,0.001878252716013793,0.007742687201035597,0.01001923814059439,0.0001759001932087424,0.000683632108582532,0.001672000326307117,0.0015429399483191937,0.00041304011550439385,4.457088070806348e-05,0.00015278721331804,9.37326635928634e-06,0.0001982159378413126,8.895795260654581e-06,2.3376599903212577e-05,3.2609487369050954e-07,1.650841277104464e-05,1.439426042546231e-06,6.262319031655889e-08,1.048218328954179e-07,1.30543873201217e-07,1.1836402005586577e-06,2.1158815771667206e-09,4.2914633450783863e-08,4.828040934560945e-10,6.5642870020425775e-09,8.767000558538384e-09,5.355942602131044e-08
Luxembourg,0.9970874133933735,0.0008684931443995305,0.0012364624677337526,8.162050030468858e-05,0.0006863974734248232,2.1030158617181521e-07,2.830279361273993e-05,2.4527046818175117e-07,8.509569793499414e-06,3.369091720250068e-07,8.273674757504291e-07,3.815087471424344e-09,2.7972463602736584e-07,8.773209077402213e-08,2.389082527331515e-07,9.647643018215416e-09,2.2233986444040184e-07,4.998008586245972e-08,1.660815273249794e-07,7.023807564642285e-09,2.8154239431484928e-08,8.217194161506681e-12,6.181141484259423e-08,1.5037725003178123e-09,2.990131041113234e-09,1.2121615402525873e-08,3.6860421582873267e-10,7.881105773718457e-09,7.165597547136971e-10
Madagascar,0.6629194537432944,0.2921757242592959,0.0003958405025674862,0.002965767165603751,0.0012656002636434202,0.022023374263827084,0.00019396734781341432,0.0001891721949560108,0.0001459246818182471,0.0007717936454694585,0.006582754855856348,0.0006013368069853977,0.0024620226148252215,0.0003641477921883773,0.0005524165598738565,0.001459727420513648,0.00013742398037444522,0.0006367649045397759,0.0009292206313382029,0.00013516463296245131,2.5952510019211856e-06,0.0015722254675437635,1.3549200249947047e-05,0.0005209921571462584,0.0007694747835696338,0.0001288453148541244,7.121988038485899e-07,8.22690260683905e-05,1.7383330152087925e-06
Malawi,0.9588258037190355,0.024955611729591213,0.0004029021207732777,0.0002870458206522108,0.0013556763325183888,0.010539380300343872,0.0008101478656367343,0.00041873658378187593,0.00031717522516341477,0.00010206273943628034,0.0012977069273067865,8.60203332412955e-05,0.00019138382221732831,0.00010207978419257167,0.00015160286198951016,4.888767217544282e-05,3.485310299349488e-05,1.5486974395417317e-07,2.954431327946321e-06,4.3833679120810546e-07,6.805010932739067e-07,3.5559890606973033e-07,3.22558174686437e-07,1.9952494099209523e-05,4.537102077866031e-05,5.576257334121433e-07,2.0642963962684484e-06,5.119480238968562e-08,2.0131103958299926e-08
Malaysia,0.9918390897755769,0.002506857694670026,0.0018626371201630266,0.00020177616566376043,0.0025314913028910814,2.002418317951294e-05,4.734298681616288e-05,2.8303959406167186e-05,3.3518633481482766e-07,7.862685599591823e-07,1.538004256581323e-05,2.2585021157504392e-06,1.389389049171273e-06,0.0006912103324616316,1.0528386946902183e-05,3.505785421751911e-05,3.422659705789677e-05,4.774158903367597e-06,3.2598846526428364e-05,3.393530821411597e-05,4.667875039095988e-06,6.940771793307207e-06,9.256715811973434e-06,3.6211162268080624e-07,9.931762332668004e-06,1.9640102788257152e-05,2.422399429650546e-05,2.431369896492915e-05,6.589060303565154e-07
