Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Samoa,0.00027983533912392467,1.9839918247623622e-06,2.870432435260421e-05,2.6050989009546486e-06,3.2826171487908875e-05,2.9516400870189765e-08,3.6590857553293183e-06,7.505537038090732e-09,4.096718480723338e-06,9.179570821430953e-07,1.6775804178707691e-07,2.2804054592794454e-08,4.257793630750489e-06,1.0210398338830948e-06,1.1719849048979566e-06,9.69230822663021e-09,7.900034484222386e-07,4.690255909250554e-09,1.9189673672107694e-06,1.8249246265304715e-07,2.822872795128152e-08,3.986292366334784e-08,7.204056373978242e-07,1.4356063918855506e-08,2.793609660601623e-07,3.22934998939978e-08,6.085989685905581e-08,2.7842810507145865e-08,8.940034592847446e-07
Sao Tome and Principe,0.0002798958699175014,2.054548194492334e-06,2.877785394594033e-05,2.705106197013237e-06,3.2783556220935204e-05,2.3175342657813953e-08,3.8017673310164104e-06,1.7738162245521e-09,4.2220565358327005e-06,1.0609048538634262e-06,2.0965815419051376e-07,4.6340474714674857e-10,2.1449741709785733e-06,6.761326278405934e-07,1.9012902947043848e-06,4.2703124012308635e-08,1.725275939912017e-06,1.4536790280755232e-07,4.4997634558716635e-07,1.2296542266772715e-07,5.04864884863358e-07,1.4235484186258644e-07,2.817668806914184e-06,6.628112091210938e-10,1.5792797727514005e-07,5.73528398382655e-07,2.0292422287832504e-06,1.0150815666171565e-07,2.699159186668634e-07
Saudi Arabia,0.00024319789579294303,2.439993157210454e-07,3.920708485184889e-05,7.614726218657013e-06,1.9351599330085975e-05,4.712167946060535e-08,1.5949935701998906e-06,2.9855221399035872e-05,7.333605909958614e-05,1.4702212514475447e-06,0.00020944139207601972,0.00017330329335343261,5.2148062707034175e-05,0.0004684017203392784,0.0003103380906668778,3.5263985471364435e-05,0.00023565847930311637,0.0004353134409656884,0.0016186214722907824,6.1342069362642e-05,0.0005684485693098596,0.0004393876031443817,0.0011068095303580366,0.0004113275852684134,7.711764938616546e-06,0.0014603426572858027,0.002626028771968749,0.0021596811880357255,0.00016283383123734163
Scotland,0.00026363216101234655,1.6740980937671707e-07,2.8989145072288973e-05,3.8417588381468273e-07,2.6554007808461377e-05,7.296062441331084e-07,1.5017368911134492e-05,1.3687879008226188e-07,2.247242638269257e-06,7.548607633490264e-07,3.391403413940829e-07,3.7966891348529805e-05,6.087299886879829e-06,1.082386417188102e-06,7.233843435224423e-07,8.535642366064581e-07,2.133821497629421e-05,3.143396092668091e-05,6.874728800056866e-05,1.5173549432980364e-06,0.00011294708285009883,6.424396842749437e-05,0.00014787143728058183,6.274483806149269e-05,0.00020540184833769043,0.00020932439901442802,0.00026995473105180816,0.0003735695661031091,7.579878300098602e-05
Senegal,0.00021933080595732025,3.134793509368506e-05,5.0543046061584296e-05,9.145229088732211e-06,1.6613038987054055e-05,1.2973963516257854e-05,2.573870043643794e-07,4.5729779167140186e-05,7.101452827209737e-05,2.4097681917929753e-05,0.0004118731027642883,0.0002457237978036798,0.000545242794539997,3.8355645456007125e-05,0.0013482870606417888,0.00093868318118345,0.0020799661818983184,0.0006110595401620892,0.0005880201143264327,0.0030162992320212443,0.00033403744236560647,0.0011076594783858066,0.0016221043658463524,0.0010750560763183683,6.076289164925253e-05,0.002624367791793047,0.001719039389959066,0.0010808208322484602,0.00031861256935790974
Serbia,0.00022739458308024266,3.0647045566935075e-06,3.59572110754137e-05,3.1626112116500784e-06,4.6600263004458836e-05,7.202440439301611e-06,7.462357107389512e-05,9.147498597449271e-06,6.629756313818717e-05,0.00010211690043379053,3.246955558849832e-05,1.0854444864539715e-05,0.00017585242442955476,0.00021639793839295447,0.0004108617192001861,2.24669184228079e-06,0.0003541786213500823,0.00019252163989287398,0.000981717623230226,2.438758037361701e-06,0.00010236607354687095,0.00025710458651004216,0.001544599894811262,6.7323417172188e-05,0.0011750178512738305,0.00038720557347953643,0.0007395860030023493,0.0002582607747563827,0.0031450929023242712
Seychelles,0.0002801109150709639,2.0039909338902196e-06,2.8550793252145048e-05,2.623595546854286e-06,3.3015972146689e-05,2.3177464997277873e-08,3.919209687720304e-06,1.3628029534417153e-08,4.726135274614829e-06,9.225408563059958e-07,2.0693636737421402e-07,6.529339404013202e-09,3.0133004135845914e-06,1.3113508987726783e-06,1.282645217249924e-06,2.317919526210148e-08,1.8172678905774202e-06,5.59329740212393e-07,9.207134153748714e-07,1.0107791854715619e-08,2.5601215104167587e-07,3.8931810639563887e-08,1.44255243449637e-06,1.7862212098273067e-10,2.302734976874097e-09,1.9841766198514583e-10,8.880972417622464e-07,3.0639747311091573e-06,5.007921958940006e-07
Sierra Leone,0.00022717236362663077,3.0386142345806207e-05,1.9429673236220217e-05,9.408917457986836e-06,3.164311383423108e-05,2.00854348436046e-05,9.023078328443619e-07,3.368183569945723e-05,9.235761857060969e-08,6.1466157171005215e-06,2.8768270890412264e-06,0.00013318991093794942,0.0005059739029195329,0.00010569408301991913,0.00023678463245856921,0.0003776490846863856,0.0001960510998225145,0.0006307135953986298,0.00020373176217215432,0.0025335633950448514,0.0004979918168820875,0.00028871759227504175,0.000226236738767101,2.194350650330486e-06,1.2074385647362165e-06,3.79849094066108e-05,0.0005539186757410964,0.0013425888251751821,0.00048385740454965856
Singapore,0.0002751104556447767,1.2374654278213683e-06,2.8575586182904435e-05,1.7435537410529878e-06,3.667378476240649e-05,1.3328235556760911e-08,3.914388239227072e-06,9.838897907011626e-09,6.730466814100081e-06,1.1645181211809808e-07,2.0715152773696924e-06,3.02120422984407e-08,1.460613412484736e-05,1.8937996854067278e-05,1.211102014491019e-07,1.1132902331532159e-12,3.2712003707404254e-06,5.860365365163546e-06,1.2970450807571905e-05,2.633555890213781e-08,5.574599925144349e-06,1.8661038302526826e-05,5.532930023450809e-06,9.08264872361055e-07,0.0001605659238023695,3.988198056828073e-06,3.238318692689211e-06,1.3452025366380504e-06,3.190137776563351e-05
Slovakia,0.0002579438845759789,6.626805118795695e-09,3.572907700167955e-05,1.1132947428158481e-06,5.464157040047355e-05,2.0741153108322413e-07,1.4787736102535817e-06,1.2682509426379732e-07,1.936667713393699e-06,1.8785553555661132e-06,5.015075519807578e-07,1.4645527625806878e-06,1.3791527295800154e-05,8.992900581067804e-05,1.6483353678640556e-06,6.364637331401418e-05,4.108034497050852e-06,4.200468932755641e-05,3.019147824603049e-05,0.00018755776730916126,0.0001985492911536237,3.152178731660731e-07,1.966144703642125e-05,0.0001539270280822431,5.1788344103327375e-05,7.41301206267177e-05,4.631333226580313e-05,0.000282531876459486,3.150169935889045e-05
Slovenia,0.000273907678983535,1.0851462786359417e-06,3.0529011937706634e-05,9.893769314875876e-07,3.2497712985771684e-05,3.1954847533276986e-08,7.922556848433996e-06,5.492796313110807e-09,7.835808437489433e-06,2.6586880618344522e-06,3.914004279907534e-07,1.8228778969423966e-07,7.270669263490908e-07,6.2506782274188434e-06,4.991071351931666e-06,1.0661204841674539e-05,4.54059000293266e-06,2.1116562432067058e-05,2.1707495155107727e-06,9.113860316349764e-05,7.3934954083124026e-06,9.420439257953637e-07,2.658109912381833e-06,0.00013870919693491986,7.232378139917288e-07,2.0490422491971228e-07,3.2024901782301986e-06,0.00021373705895725098,6.3937078280143635e-06
